model,config,human effort,accuracy,precision,recall,F1-Score
Random Forest,"['VIF', 'SSIM', 'CPL', 'Hist_cor']",0.25,0.824724809,0.858499525,0.93970894,0.897270471
Random Forest,"['VIF', 'SSIM', 'CPL', 'Hist_cor']",0.25,0.824724809,0.875739645,0.916408669,0.895612708
Random Forest,"['VIF', 'SSIM', 'CPL', 'Hist_cor']",0.25,0.824724809,0.845940959,0.958202717,0.898579128
Random Forest,"['VIF', 'SSIM', 'CPL', 'Hist_cor']",0.25,0.824724809,0.843807763,0.960042061,0.89818003
Random Forest,"['VIF', 'SSIM', 'CPL', 'Hist_cor']",0.25,0.823878069,0.853911404,0.944734098,0.897029703
Random Forest,"['VIF', 'SSIM', 'CPL', 'Hist_cor']",0.75,0.822335025,0.854285714,0.940251572,0.895209581
Random Forest,"['VIF', 'SSIM', 'CPL', 'Hist_cor']",0.5,0.820838628,0.857979502,0.93015873,0.892612338
Random Forest,"['VIF', 'SSIM', 'CPL', 'Hist_cor']",0.25,0.820491109,0.843045113,0.952229299,0.894317049
Random Forest,"['VIF', 'SSIM', 'CPL', 'Hist_cor']",0.75,0.819796954,0.847701149,0.942492013,0.892586989
Random Forest,"['VIF', 'SSIM', 'CPL', 'Hist_cor']",0.25,0.817950889,0.835916135,0.963235294,0.895070766
Random Forest,"['VIF', 'SSIM', 'CPL', 'Hist_cor']",0.75,0.817258883,0.838983051,0.951923077,0.891891892
Random Forest,"['VIF', 'SSIM', 'CPL', 'Hist_cor']",0.5,0.817026684,0.835674157,0.95659164,0.892053973
Random Forest,"['VIF', 'SSIM', 'CPL', 'Hist_cor']",0.25,0.816257409,0.841908326,0.949367089,0.892414477
Random Forest,"['VIF', 'SSIM', 'CPL', 'Hist_cor']",0.25,0.816257409,0.850333651,0.93697479,0.891554223
Random Forest,"['VIF', 'SSIM', 'CPL', 'Hist_cor']",0.75,0.80964467,0.825,0.961165049,0.887892377
